Neighborhood;LONGITUDE;LATITUDE;Population density per square kilometre
University ;-79.401179748;43.6625062026;8943
Victoria Village ;-79.3148738265;43.7284890194;2856
Waterfront Communities-The Island ;-79.3772023146;43.6338803623;1117
West Hill ;-79.1766760264;43.7674902567;7339
West Humber-Clairville ;-79.5963564535;43.7161804033;7197
Westminster-Branson ;-79.4524182256;43.7788132165;7601
Weston ;-79.5157225505;43.7027160463;2724
Weston-Pellam Park ;-79.4602439114;43.6739620377;10087
Wexford/Maryvale ;-79.2986365699;43.7485721411;5820
Willowdale East ;-79.4014837896;43.7706022616;4007
Willowdale West ;-79.4275578;43.7712104918;4345
Willowridge-Martingrove-Richview ;-79.5542210494;43.683644963;7838
Woburn ;-79.2285857671;43.7667402393;6722
Woodbine Corridor ;-79.3154073786;43.6767729247;8541
Woodbine-Lumsden ;-79.3111635266;43.6941067424;7162
Agincourt North ;-79.266712166;43.8054405769;3929
Agincourt South-Malvern West ;-79.2656117966;43.7886575511;3034
Alderwood ;-79.5416109273;43.6049368959;2435
Annex ;-79.4040006243;43.6715854351;10863
Banbury-Don Mills ;-79.3497179808;43.7376570043;2775
Bathurst Manor ;-79.4560551588;43.7648133077;3377
Bay Street Corridor ;-79.3857212509;43.6575113467;14097
Bayview Village ;-79.3771168597;43.7763605236;4195
Bayview Woods-Steeles ;-79.3821179542;43.7968018666;3240
Bedford Park-Nortown ;-79.4202273481;43.7314862318;4209
Beechborough-Greenbrook ;-79.4794725057;43.6932164866;3614
Bendale ;-79.2574003723;43.7603663086;4011
Birchcliffe-Cliffside ;-79.2650925923;43.6946819786;3765
Black Creek ;-79.5219793188;43.7648902472;6282
Blake-Jones ;-79.3373941732;43.6761728798;8134
Briar Hill-Belgravia ;-79.4528512962;43.699024381;7791
Bridle Path-Sunnybrook-York Mills ;-79.3789041759;43.7310131378;1040
Broadview North ;-79.3556295118;43.6888251192;6764
Brookhaven-Amesbury ;-79.485589259;43.7013263056;5045
